TraitID,Trait,ObsNum,ObsGRNum,AccSpecNum
1848,Fine root dichotomous branching index (DBI),4,4,1
2006,Fine root dry mass fraction in respective root diameter class,6,6,2
2011,Fine root dry mass fraction that is taproot (taproot dry mass per fine root dry mass),13,13,13
695,Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC),68,68,54
1795,Fine root dry mass per ground area,5056,4991,139
473,Fine root dry mass per plant,2954,2898,173
466,Fine root dry mass per plant dry mass,10,10,4
2013,Fine root dry mass per soil volume,114,114,10
2003,Fine root dry mass to leaf dry mass ratio,1703,1703,98
1954,Fine root dry mass turnover,37,37,4
1957,Fine root dry mass turnover during dry season,8,8,1
1956,Fine root dry mass turnover during wet season,8,8,1
1955,Fine root dry mass turnover rate,429,426,85
1820,Fine root exodermal wall thickness,9,4,6
1821,Fine root exodermis passage cell frequency per length of fine root circumference,9,4,6
1849,Fine root external path length (Pe; sum of links in all paths from each external link to the base li,4,4,1
1977,Fine root exudation: carbon (C) exudation as fraction of fine root dry mass,4,4,1
1847,Fine root forks per fine root dry mass (specific fine root forks density; SRFD),12,12,4
1827,Fine root fraction of metaxylem cell wall thickness to vessel diameter,1,1,1
1828,Fine root fraction of protoxylem cell wall thickness to vessel diameter,1,1,1
1871,Fine root galactans content per fine root dry mass,3,3,3
1946,Fine root growth: amplitude of monthly net fine root production,3,3,1
1927,Fine root growth: cumulative new fine root length growth per ground area per exposition period,46,46,2
1931,Fine root growth: fine root carbon (C) production per ground area and time,115,115,6
1935,Fine root growth: fine root dry mass production per ground area per day,20,20,2
1934,Fine root growth: fine root dry mass production per ground area per duration of exposition,131,131,4
1933,Fine root growth: fine root dry mass production per ground area per month,42,42,2
1932,Fine root growth: fine root dry mass production per ground area per year,701,692,91
1936,Fine root growth: fine root dry mass production per soil volume and time,72,72,1
1938,Fine root growth: fine root elongation,107,107,1
1940,Fine root growth: fine root length production per ground area per exposition period,45,45,2
1941,Fine root growth: fine root length production per ground area per year,212,204,7
1939,Fine root growth: fine root length production per minirhizotron frame per exposition period,32,32,1
1944,Fine root growth: fine root length production per minirhizotron or rhizotron per year,2,2,2
1942,Fine root growth: fine root length production per minirhizotron surface area per day,246,246,7
1943,Fine root growth: fine root length production per minirhizotron surface area per year,13,13,3
1950,Fine root growth: fine root surface area produced per ground area per year,7,7,1
1937,Fine root growth: fraction of fine root number that has elongated since last measurement to total nu,108,108,1
1928,Fine root growth: new fine root length growth per ground area per year,44,44,2
1945,Fine root growth: number of fine roots born per area of in-growth screen per time,16,16,1
1947,Fine root growth: probability that monthly net fine root production is greater than 0,12,12,1
1929,Fine root growth: relative fine root production: ratio fine root production rate at given time to ma,126,126,6
1972,Fine root hair incidence: fraction of fine root intersections that contain root hairs,62,62,3
1854,Fine root hemicellulose content per fine root dry mass,38,38,37
1844,Fine root intact branch length,4,4,1
1804,Fine root iron (Fe) content per fine root dry mass,40,31,9
1981,Fine root K uptake in depth interval relative to total fine root K uptake,15,15,3
422,Fine root labile carbon (C) compound content per fine root carbon (C) content,12,0,12
1805,Fine root lead (Pb) content per fine root dry mass,6,6,6
2024,Fine root length density (RLD): fine root length per ground area,977,785,53
2008,Fine root length fraction in respective root diameter class,103,103,34
2009,Fine root length fraction in respective root order,50,50,9
1822,Fine root length fraction that contains fungal/mycorrhizal arbuscules,4,4,1
1823,Fine root length fraction that contains fungal/mycorrhizal vesicles,4,4,1
614,Fine root length per fine root dry mass (specific fine root length; SRL),2515,2410,548
2022,Fine root length per minirhizotron frame,32,32,1
2027,Fine root length per minirhizotron screen area,251,251,4
2026,Fine root length per plant,585,583,35
2025,Fine root length per soil volume,75,75,1
2021,Fine root length ratio (RLR): fine root length per plant dry mass,12,12,1
1930,Fine root length relative growth rate,60,60,1
1974,Fine root length: distance from fine root base to tip,83,83,15
1914,Fine root lifespan: fraction of fine roots that live to the age in �fine root age�,190,190,5
1915,Fine root lifespan: fraction of fine roots that survive over the course of a growing season,12,12,4
1916,Fine root lifespan: fraction of fine roots that survive the exposition period,24,24,4
424,Fine root lignin carbon (C) content per fine root carbon (C) content,47,35,47
1784,Fine root lignin content per fine root dry mass,82,82,59
1839,Fine root link branching angle: angle between a link and the extension of the link before it,4,4,1
1846,Fine root link length (segments between two nodes or a node and a tip),4,4,1
1887,Fine root lipid content per fine root dry mass,3,3,3
897,Fine root litter calcium (Ca) content per fine root litter dry mass,9,9,4
898,Fine root litter carbon (C) content per fine root litter dry mass,12,12,7
899,Fine root litter carbon/nitrogen (C/N) ratio,8,8,6
900,Fine root litter cellulose content per fine root litter dry mass,5,5,3
1911,Fine root litter decomposition per soil surface area: fine root dry necromass that decomposes over t,12,12,1
1912,Fine root litter decomposition per soil surface area: fine root dry necromass that decomposes over t,15,15,1
901,Fine root litter decomposition rate,35,35,14
902,Fine root litter decomposition rate constant,27,27,17
1910,Fine root litter decomposition: decomposition rate constant,12,12,1
1917,Fine root litter decomposition: fine root dry mass decomposed per soil volume and time,72,72,1
1919,Fine root litter decomposition: fine root length decomposed per ground area during exposition,43,43,2
1913,Fine root litter decomposition: nitrogen (N) immobilization in decomposing fine roots,4,4,4
903,Fine root litter hemicellulose content per fine root litter dry mass,3,3,1
904,Fine root litter lignin content per fine root litter dry mass,11,11,7
905,Fine root litter lignin/nitrogen (lignin/N) ratio,7,7,4
906,Fine root litter magnesium (Mg) content per fine root litter dry mass,9,9,4
907,Fine root litter manganese (Mn) content per fine root litter dry mass,6,6,1
908,Fine root litter nitrogen (N) content per fine root litter dry mass,23,23,13
909,Fine root litter phosphorus (P) per fine root litter dry mass,11,11,5
910,Fine root litter potassium (K) content per fine root litter dry mass,9,9,4
911,Fine root litter sodium (Na) content per fine root litter dry mass,6,6,1
912,Fine root litter sulfur (S) content per fine root litter dry mass,6,6,1
1807,Fine root magnesium (Mg) content per fine root dry mass,163,154,40
1983,Fine root magnesium (Mg) turnover per ground area per year,2,2,1
1815,Fine root manganese (Mn) content per fine root dry mass,78,71,27
1875,Fine root mannans content per fine root dry mass,3,3,3
2005,Fine root mass fraction (fraction of fine root dry mass to whole plant dry mass),1818,1818,115
1835,Fine root metaxylem cell wall thickness,1,1,1
1832,Fine root metaxylem vessel diameter,1,1,1
1970,Fine root microbial relations: phospholipid fatty acid 18.2omega6.9 degradation during soil incubati,15,15,3
1968,Fine root microbial relations: ratio of fungal rRNA gene copy number to bacterial rRNA gene copy num,16,16,2
1908,Fine root monthly decomposition rate,6,6,1
1920,Fine root mortality: fine root dry mass mortality per ground area and time,65,65,5
1918,Fine root mortality: fine root dry mass mortality per soil volume and time,102,102,2
1924,Fine root mortality: fine root length mortality per ground area and year,112,100,5
1921,Fine root mortality: fine root length mortality per minirhizotron frame and time,28,28,1
1922,Fine root mortality: fine root length mortality per minirhizotron surface per day,234,234,3
1923,Fine root mortality: fine root length mortality per minirhizotron surface per year,18,18,3
1925,Fine root mortality: fine root number mortality per in-growth screen area and time,16,16,1
1926,Fine root mortality: fraction of fine root screen contacts lost during exposition,28,28,1
2018,Fine root necromass (dead dry mass) per ground area for specified soil depth increment,742,732,25
2030,Fine root necromass to biomass ratio,583,573,25
1808,Fine root nickel (Ni) content per fine root dry mass,6,6,6
475,Fine root nitrogen (N) content per fine root dry mass,984,966,231
1857,Fine root nitrogen (N) content per fine root length,101,101,62
468,Fine root nitrogen (N) content per ground area,165,165,11
469,Fine root nitrogen (N) content per plant,2,2,1
2020,Fine root nitrogen (N) content per soil dry mass,6,6,2
1984,Fine root nitrogen (N) turnover per ground area per year,26,26,3
1985,Fine root nitrogen (N) uptake per ground area during exposition period,20,20,1
1988,Fine root nitrogen (N) uptake per ground area per year,98,98,2
1994,Fine root nitrogen (N) uptake preference: ammonium (NH4+); nitrate (NO3-); organic nitrogen (N),11,11,8
3011,Fine root nitrogen/phosphorus (N/P) ratio,18,18,5
1840,Fine root number of tips per branch,4,4,1
1829,Fine root number of tracheary elements per crossection,1,1,1
1905,Fine root o-alkyl carbon (C) content per fine root carbon (C) content,4,4,4
1838,Fine root passage cell number in exodermis per fine root circumference,9,4,6
1809,Fine root persistence (lifespan; longevity),210,210,19
699,Fine root pH,35,35,35
1978,Fine root phosphatase activity per fine root dry mass,14,14,1
1979,Fine root phosphatase activity per fine root length,13,13,13
1990,Fine root phosphate (H2PO4) uptake rate,4,4,1
698,Fine root phosphorus (P) content per fine root dry mass,350,341,121
1859,Fine root phosphorus (P) content per fine root length,13,13,13
1989,Fine root phosphorus (P) turnover per ground area,2,2,1
1991,Fine root phosphorus (P) uptake rate per fine root dry mass,12,12,2
1980,Fine root phosphorus (P) uptake relative to maximum fine root P uptake,22,22,2
1883,Fine root polyphenol content per fine root dry mass,7,7,7
1810,Fine root potassium (K) content per fine root dry mass,187,179,44
1993,Fine root potassium (K) turnover per ground area per year,2,2,1
1836,Fine root protoxylem cell wall thickness,1,1,1
1834,Fine root protoxylem vessel diameter,1,1,1
1898,Fine root ratio of lignin to nitrogen (N),3,3,3
1900,Fine root ratio of polyphenol to nitrogen (N),3,3,3
1791,Fine root respiration rate per fine root dry mass,168,168,29
1884,Fine root rhamnans content per fine root dry mass,3,3,3
1777,Fine root rooting depth,645,645,56
2803,Fine root rooting depth where most of the root activity of interest occurs,201,201,1
2029,Fine root rooting depth: fraction of fine root dry mass contained in depth interval,205,205,16
1996,Fine root rubidium (Rb) uptake rate per fine root dry mass per hour,19,19,3
1995,Fine root rubidium (Rb) uptake rate per fine root fresh mass per hour,19,19,3
1816,Fine root silicon (Si) content per fine root dry mass,4,4,2
1811,Fine root sodium (Na) content per fine root dry mass,39,32,9
1869,Fine root soluble ethanol content per fine root dry mass,3,3,3
2014,Fine root species abundance: fraction of total fine root dry mass composed of respective species,33,33,9
1973,Fine root specific hair cylinder volume: volume of root hairs per fine root dry mass,28,28,14
1850,Fine root standing crop by tips,36,36,1
1825,Fine root stele diameter,3,3,1
1824,Fine root stele fraction: stele diameter divided by fine root diameter,3,3,1
1812,Fine root sulfur (S) content per fine root dry mass,43,43,10
1813,Fine root surface area per fine root dry mass (specific fine root area),444,444,162
1781,Fine root tissue density (fine root dry mass per fine root volume),455,452,186
1851,Fine root topological index (TI): Slope of linear regression of external path length against number ,4,4,1
1792,Fine root total non-structural carbon (TNC) content per fine root dry mass,12,12,2
2028,Fine root volume per ground area,76,76,1
1889,Fine root water or ethanol soluble compounds per fine root dry mass,21,21,15
1890,Fine root water soluble compounds per fine root dry mass,27,27,26
2000,Fine root water uptake rate per fine root surface area,9,9,1
1999,Fine root water uptake rate relative to control,6,6,1
1892,Fine root xylans content per fine root dry mass,3,3,3
1814,Fine root zinc (Zn) content per fine root dry mass,45,38,16
1778,Fine root/shoot ratio,187,187,48
207,Flower color,13569,0,7573
581,Flower conspicuous,2202,0,2183
913,Flower corolla length,50,50,5
2936,Flower corolla type,2490,0,2361
3008,Flower hairy,145,145,97
914,Flower heteromorphy,58,0,44
209,Flower heterostyly,56,0,43
204,Flower insemination autogamous or xenogamous,2777,0,2679
210,Flower number of pollen per ovule,370,0,253
2937,Flower petal number,2863,0,2431
205,Flower pollinator and type of reward,6317,0,3506
2991,Flower presence,102,0,1
213,Flower sex,15675,435,13735
212,Flower sex timing,2911,0,2375
211,Flower sexual self-incompatibility mechanism,4211,0,2985
915,Flower sexual syndrome (dichogamy; cleistogamy; dioecious; monoecious),5418,0,1617
2938,Flower stamen number,2747,0,2649
2935,Flower symmetry type (flower shape),3224,369,2794
206,Flower type,3563,0,3503
215,Flower UV light reflectance,2781,0,905
597,Flowering requirement (requirement for fertility),2226,0,2208
2999,Flowers number per plant,120,120,4
2956,Flowers onset of flowering (first flowering date; flowering beginning),48,48,32
2940,Fruit dehiscence type,2432,0,2355
917,Fruit diameter,93,93,81
918,Fruit length,165,165,149
919,Fruit mass,93,93,81
3048,Fruit palatability,72,72,36
2939,Fruit pericarp type,2380,0,2303
2941,Fruit surface type,1688,0,1507
99,Fruit type,9610,269,6687
605,Fruit/seed abundance,2001,0,1986
585,Fruit/seed color,2073,0,2056
586,Fruit/seed conspicuous,2185,0,2166
920,Inflorescence diameter at base,546,546,22
921,Inflorescence diameter at top,561,561,23
130,Inflorescence dry mass per plant,5548,5545,247
1046,Inflorescence dry mass per plant dry mass (reproductive weight fraction),230,230,16
2817,Inflorescence length (height),640,640,29
1257,Inflorescence nectar sugar concentration,520,520,21
922,Inflorescence nectar volume,520,520,21
684,Inflorescence nitrogen (N) content per inflorscence dry mass,138,0,137
688,Inflorescence nitrogen/phosphorus (N/P) ratio,79,0,78
923,Inflorescence percentage of flowers open,517,517,22
685,Inflorescence phosphorus (P) content per inflorscence dry mass,101,0,100
924,Inflorescence position at the shoot axis,36,0,35
2934,Inflorescence type,3779,0,2846
2947,Inflorescence: number of flowers per inflorescence,135,135,5
249,Leaf aluminium (Al) content per leaf dry mass,5220,2858,1412
474,Leaf and fine root turnover,131,2,26
3073,Leaf and leaf-structures fresh to dry shrinkage ratio of length; width; thickness; area,3334,3334,20
3074,Leaf and leaf-structures fresh to dry shrinkage ratio of mass,1454,1454,20
3,Leaf angle (inclination; orientation),50631,49866,5311
810,Leaf anthocyanin content per leaf area,3,3,1
731,Leaf anthocyanin content per leaf dry mass,3,3,1
546,Leaf antimony (Sb) content per leaf dry mass,1224,10,375
1,Leaf area ;(not yet refined if leaf or leaflet),15504,13617,1161
3114,Leaf area (in case of compound leaves undefined: leaf or leaflet; petiole and rachis in- excluded),17255,8319,5343
3108,Leaf area (in case of compound leaves: leaf; petiole excluded),22770,22484,1949
3110,Leaf area (in case of compound leaves: leaf; petiole included),37355,36982,2446
3112,Leaf area (in case of compound leaves: leaf; undefined if petiole in- or excluded),13161,12909,6625
3109,Leaf area (in case of compound leaves: leaflet; petiole and rachis excluded),22893,18166,3157
3111,Leaf area (in case of compound leaves: leaflet; petiole and rachis included),15739,9829,2424
3113,Leaf area (in case of compound leaves: leaflet; undefined if petiole and rachis are in- or excluded),38917,38503,10968
490,Leaf area fraction in given age class,12,12,2
926,Leaf area index (LAI) of a single plant,745,366,66
174,Leaf area index (LAI) total per LAI projected ,166,155,15
11,Leaf area per leaf dry mass (SLA or 1/LMA): not yet refined if petiole is included,20998,17720,2579
3115,Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis excluded,54632,43988,6128
3116,Leaf area per leaf dry mass (SLA or 1/LMA): petiole and rachis included,59162,49910,5880
3117,Leaf area per leaf dry mass (SLA or 1/LMA): undefined if petiole and rachis are in- or excluded,34524,21706,6398
125,Leaf area per leaf fresh mass (specific leaf area (SLA) based on leaf fresh mass),13096,12566,706
3037,Leaf area per leaf perimeter,225,0,51
399,Leaf area per metamer dry mass,82,82,72
410,Leaf area per plant,3167,1189,295
109,Leaf area per plant dry mass (leaf area ratio; LAR),3635,1432,384
927,Leaf area total at given shoot height ,1766,0,25
928,Leaf area-specific conductivity (leaf specific conductivity),861,828,543
929,Leaf aromatic,1615,1615,661
541,Leaf arsenic (As) content per leaf dry mass,426,98,277
333,Leaf ash content per leaf dry mass,2167,2074,801
251,Leaf barium (Ba) content per leaf dry mass,2893,1186,857
250,Leaf boron (B) content per leaf dry mass,2275,2232,590
542,Leaf bromine (Br) content per leaf dry mass,2153,0,639
545,Leaf cadmium (Cd) content per leaf dry mass,344,98,165
547,Leaf caesium (Cs) content per leaf dry mass,1555,0,512
252,Leaf calcium (Ca) content per leaf dry mass,7788,5031,1717
570,Leaf carbon (C) content per leaf area,5108,3791,1519
13,Leaf carbon (C) content per leaf dry mass,30028,23980,5013
89,Leaf carbon (C) isotope signature (delta 13C),8505,7732,1917
146,Leaf carbon/nitrogen (C/N) ratio,12387,8638,2362
151,Leaf carbon/phosphorus (C/P) ratio,164,161,100
491,Leaf carotenoid content per leaf area,71,71,4
809,Leaf carotenoid content per leaf dry mass,67,67,4
725,Leaf cell lumen area per leaf area,20,20,10
727,Leaf cell lumen length,9,9,9
728,Leaf cell lumen width,10,10,10
176,Leaf cell volume,50,15,7
726,Leaf cells number per leaf area,10,10,10
92,Leaf cellulose content per leaf dry mass,1214,912,219
549,Leaf cerium (Ce) content per leaf dry mass,1473,0,475
539,Leaf chlorine (Cl) content per leaf dry mass,2101,0,629
416,Leaf chlorophyll a/b ratio,108,92,95
3001,Leaf chlorophyll content in SPAD units relative,1125,273,80
413,Leaf chlorophyll content per leaf area,19289,19165,822
418,Leaf chlorophyll content per leaf carotene content,152,152,81
164,Leaf chlorophyll content per leaf dry mass,274,266,7
732,Leaf chlorophyll content per leaf nitrogen (N) content,15,15,6
753,Leaf chlorophyll fluorescence,1000,1000,216
3003,Leaf chloroplast surface area exposed to internal airspace,36,0,8
3007,Leaf chloroplastic CO2 concentration,42,0,8
254,Leaf chromium (Cr) content per leaf dry mass,1960,767,670
2995,Leaf clacium (Ca) content per leaf,683,683,2
454,Leaf clumping factor,6,6,3
253,Leaf cobalt (Co) content per leaf dry mass,2586,597,749
582,Leaf color,5965,1613,2796
17,Leaf compoundness,65632,41703,16239
2953,Leaf construction cost per leaf dry mass,31,31,31
930,Leaf contact angle of water droplets ,303,303,4
255,Leaf copper (Cu) content per leaf dry mass,2611,2355,729
716,Leaf cuticula thickness,30,30,11
709,Leaf cuticular conductance,24,24,17
48,Leaf density,18685,16598,2674
931,Leaf display type,1614,1614,660
16,Leaf distribution along the shoot axis (arrangement type),27460,2876,9976
932,Leaf distribution along the shoot axis (number),6,6,2
55,Leaf dry mass,100328,85167,6760
508,Leaf dry mass fraction per leaf age class,15,15,1
933,Leaf dry mass loss during leaf senescence,191,152,142
509,Leaf dry mass per area (LMA) versus leaf nitrogen (N) content ,78,78,4
494,Leaf dry mass per ground area,172,32,11
47,Leaf dry mass per leaf fresh mass (leaf dry matter content; LDMC),94470,82985,4941
114,Leaf dry mass per leaf volume,17,0,17
397,Leaf dry mass per metamer dry mass,82,82,72
129,Leaf dry mass per plant,9624,8301,489
110,Leaf dry mass per plant dry mass (leaf weight ratio; LWR),4505,1900,821
3040,Leaf dry mass production rate per plant,235,0,51
555,Leaf dysprosium (Dy) content per leaf dry mass,118,0,56
190,Leaf elastic modulus,67,67,32
677,Leaf emergences (pubescence; hairs; spines; thorns),21349,15899,2916
3004,Leaf epidermis area per leaf area,37,0,8
338,Leaf epidermis cell area,209,0,61
182,Leaf epidermis cell length,290,76,73
183,Leaf epidermis cell wall thickness,178,178,136
751,Leaf epidermis conductance,8,8,2
101,Leaf epidermis thickness,216,42,37
180,Leaf epidermis volume per leaf volume,723,556,403
552,Leaf europium (Eu) content per leaf dry mass,1053,0,390
934,Leaf floating capacity ,52,0,52
163,Leaf fresh mass,40211,37577,1929
553,Leaf gadolinium (Gd) content per leaf dry mass,249,0,96
558,Leaf gold (Au) content per leaf dry mass,345,0,219
562,Leaf hafnium (Hf) content per leaf dry mass,307,0,179
2954,Leaf heat (energy release) of combustion,31,31,31
94,Leaf hemi-cellulose content per leaf dry mass,1142,849,159
935,Leaf herbivore species,1680,0,59
936,Leaf heterophylly,2753,1249,1182
3024,Leaf homeostatic regulation coefficient of N/P (nitrogen to phosphorus) ratio,48,48,12
3022,Leaf homeostatic regulation coefficient of nitrogen content per dry mass,24,24,12
3023,Leaf homeostatic regulation coefficient of phosphorus content per dry mass,24,24,12
748,Leaf hydraulic conductance,40,40,24
2955,Leaf hydrogen (H) content per leaf dry mass,436,436,94
806,Leaf hypodermis thickness,8,8,3
181,Leaf hypodermis volume per leaf volume,164,3,58
62,Leaf inrolling of lamina,986,951,695
49,Leaf intercellular CO2 concentration,5922,2450,1186
1266,Leaf intercellular CO2 concentration at nighttime,525,525,4
121,Leaf intercellular volume,280,280,28
123,Leaf intercellular volume per leaf volume,507,346,119
3006,Leaf internal airspace area per leaf area,37,0,8
256,Leaf iron (Fe) content per leaf dry mass,4828,2552,1389
937,Leaf isoprene emission category,3785,1272,1991
938,Leaf isoprene emission rate per leaf area,3160,1458,630
939,Leaf isoprene emission rate per leaf dry mass,4011,1856,1671
3058,Leaf lamina area (leaf blade area),1493,1493,91
3085,Leaf lamina area per leaf lamina dry mass (specific leaf area (SLA) of leaf lamina),426,426,20
3062,Leaf lamina dissection index: lamina perimeter / square root of lamina area,177,177,1
3052,Leaf lamina dry mass,1314,1314,91
3082,Leaf lamina dry mass per leaf lamina fresh mass (leaf lamina dry matter content),426,426,20
3057,Leaf lamina fresh mass,935,935,90
940,Leaf lamina length,10739,4995,2329
3086,Leaf lamina less rachis area per dry mass (specific leaf area (SLA) of leaf lamina less rachis),33,33,4
3083,Leaf lamina less rachis dry mass per fresh mass (leaf lamina less rachis dry matter content),8,8,2
3060,Leaf lamina perimeter,177,177,1
3061,Leaf lamina shape index: lamina length / lamina width,177,177,1
548,Leaf lanthanum (La) content per leaf dry mass,1781,0,538
755,Leaf lead (Pb) content per leaf dry mass,195,152,92
144,Leaf length,21144,6871,7223
12,Leaf lifespan (longevity),5133,3152,1523
10,Leaf light absorption (extinction),336,11,146
535,Leaf light transmittance,1,1,1
87,Leaf lignin content per leaf dry mass,1722,1420,489
69,Leaf litter area per leaf litter dry mass (specific leaf area (SLA) of leaf litter),480,400,132
943,Leaf litter calcium (Ca) content per leaf litter dry mass ,32,32,11
944,Leaf litter carbon (C) content per leaf litter dry mass,3,3,3
945,Leaf litter carbon/nitrogen (C/N) ratio ,1,1,1
946,Leaf litter cellulose content per leaf litter dry mass ,3,3,3
947,Leaf litter copper (Cu) content per leaf litter dry mass ,3,3,3
948,Leaf litter decomposition rate ,41,41,12
949,Leaf litter decomposition rate constant ,32,32,16
950,Leaf litter iron (Fe) content per leaf litter dry mass ,3,3,3
951,Leaf litter lignin content per leaf litter dry mass ,4,4,4
952,Leaf litter magnesium (Mg) content per leaf litter dry mass ,32,32,11
953,Leaf litter manganese (Mn) content per leaf litter dry mass ,8,8,5
954,Leaf litter nitrogen (N) content per leaf litter dry mass ,33,33,12
956,Leaf litter phenolics content per leaf litter dry mass ,1,1,1
957,Leaf litter phosphorus (P) content per leaf litter dry mass ,32,32,11
958,Leaf litter potassium (K) content per leaf litter dry mass ,32,32,11
959,Leaf litter protein content per leaf litter dry mass ,1,1,1
960,Leaf litter sodium (Na) content per leaf litter dry mass ,6,6,3
961,Leaf litter sulfur (S) content per leaf litter dry mass ,6,6,3
962,Leaf litter zinc (Zn) content per leaf litter dry mass ,2,2,2
557,Leaf lutetium (Lu) content per leaf dry mass,400,0,151
2997,Leaf magnesium (Mg) content per leaf,683,683,2
1253,Leaf magnesium (Mg) content per leaf area ,292,292,40
257,Leaf magnesium (Mg) content per leaf dry mass,7302,4699,1578
258,Leaf manganese (Mn) content per leaf dry mass,4963,2544,1398
963,Leaf margin type,14965,8622,5687
559,Leaf mercury (Hg) content per leaf dry mass,497,10,231
107,Leaf mesophyll area per leaf area,115,17,108
573,Leaf mesophyll cell area,171,10,65
3005,leaf mesophyll cell area per leaf area,37,0,8
729,Leaf mesophyll cell lumen thickness,10,10,10
175,Leaf mesophyll cell thickness,25,25,11
19,Leaf mesophyll cell volume,94,6,94
964,Leaf mesophyll conductance,790,748,57
108,Leaf mesophyll density,94,6,94
804,Leaf mesophyll palisade parenchym thickness,17,17,14
177,Leaf mesophyll palisade parenchym volume per leaf spongiophyll volume,398,398,243
178,Leaf mesophyll palisade parenchym volume per leaf volume,579,418,270
365,Leaf mesophyll palisade parenchyma cell area,150,0,51
805,Leaf mesophyll spongiophyll thickness,17,17,14
179,Leaf mesophyll spongiophyll volume per leaf volume,548,387,265
3002,Leaf mesophyll surface area exposed to internal airspace,37,0,8
103,Leaf mesophyll thickness,110,23,37
745,Leaf mid vein conductivity,34,34,24
724,Leaf mid vein cross-sectional area,10,10,10
723,Leaf mid vein length,10,10,10
105,Leaf mid vein support tissue thickness,87,0,22
104,Leaf mid vein thickness,121,34,50
743,Leaf mid vein vascular bundle diameter,10,10,10
744,Leaf mid vein vessel diameter,37,37,34
742,Leaf mid vein xylem conduits number,17,17,14
498,Leaf mineral content per leaf dry mass,17,17,2
79,Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N),3664,3664,566
259,Leaf molybdenum (Mo) content per leaf dry mass,1918,1725,588
965,Leaf monoterpene emission category,1500,741,614
966,Leaf monoterpene emission rate per leaf area,916,568,297
967,Leaf monoterpene emission rate per leaf dry mass,1946,1128,521
550,Leaf neodymium (Nd) content per leaf dry mass,314,0,121
261,Leaf nickel (Ni) content per leaf dry mass,1431,1346,485
661,Leaf nitrate (NO3-) content per leaf dry mass,142,0,19
412,Leaf nitrate reductase activity,159,159,115
57,Leaf nitrogen (N) content per leaf,1689,1654,842
50,Leaf nitrogen (N) content per leaf area,36815,26915,6953
14,Leaf nitrogen (N) content per leaf dry mass,82314,60303,10715
502,Leaf nitrogen (N) content per plant,4,4,2
671,Leaf nitrogen (N) content per plant nitrogen (N) content,20,0,10
968,Leaf nitrogen (N) fraction in ammonium (NH4+),2948,2948,472
969,Leaf nitrogen (N) fraction in N2,2948,2948,472
970,Leaf nitrogen (N) fraction in nitrate (NO3-),2948,2948,472
187,Leaf nitrogen (N) fraction in Rubisco,17,17,13
78,Leaf nitrogen (N) isotope signature (delta 15N),18382,18071,2949
510,Leaf nitrogen (N) retranslocation prior to leaf senescence,47,47,3
3046,Leaf nitrogen (N) uptake rate,271,0,59
56,Leaf nitrogen/phosphorus (N/P) ratio,16384,9803,3689
507,Leaf non-structural carbon (TNC) content per leaf dry mass ,397,71,64
783,Leaf number of chloroplasts per leaf mesopyll cell,94,6,94
971,Leaf number of first order leaflets per leaf,995,0,370
759,Leaf number of leaflets per leaf,16205,15453,7769
972,Leaf number of second order leaflets per leaf,17,0,6
3036,Leaf number production rate per plant,236,0,51
660,Leaf organic nitrogen (N) content per leaf dry mass,145,0,19
188,Leaf osmotic potential at full turgor,932,932,41
189,Leaf osmotic potential at turgor loss,115,115,85
3089,Leaf osmotic potential: soil volumetric water content at leaf turgor loss point,25,0,25
3088,Leaf osmotic potential: soil water potential at turgor loss point,25,0,25
152,Leaf palatability,2755,107,1009
142,Leaf perimeter,6001,5857,511
779,Leaf petiole diameter,6979,6979,417
778,Leaf petiole dry mass,9507,9507,452
1010,Leaf petiole dry mass per petiole fresh mass (leaf petiole dry matter content),3661,3661,43
3125,Leaf petiole dry mass per plant,92,0,1
777,Leaf petiole fresh mass,8837,8837,381
143,Leaf petiole length,14233,8691,2441
396,Leaf petiole mass per metamer mass,82,82,72
973,Leaf petiole projected area,4391,4391,124
1011,Leaf petiole projected area per petiole dry mass (specific leaf area (SLA) of leaf petiole),3328,3328,43
1264,Leaf petiole specific length (length per dry mass),81,81,72
615,Leaf pH,321,321,140
147,Leaf phenolics content per leaf dry mass,1257,1257,237
37,Leaf phenology type,117567,70402,20285
58,Leaf phosphorus (P) content per leaf,1127,1123,374
51,Leaf phosphorus (P) content per leaf area,15587,12447,3767
15,Leaf phosphorus (P) content per leaf dry mass,41109,29211,6420
3026,Leaf phosphorus (P) retranslocation prior to leaf senescence,2395,2395,1486
186,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model),7227,5760,1019
185,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model),5424,4505,893
487,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf nitrogen (N) content (Farquhar model),56,56,7
537,Leaf photosynthesis carboxylation capacity (Vcmax) temperature dependence (Farquhar model),10,10,3
479,Leaf photosynthesis CO2 compensation point,112,55,25
269,Leaf photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model),4198,3117,473
270,Leaf photosynthesis electron transport capacity (Jmax) per leaf dry mass (Farquhar model),2371,1702,199
486,Leaf photosynthesis electron transport capacity (Jmax) per leaf nitrogen (N) content (Farquhar model,56,56,7
